filename,sample_id,genuine_or_tampered,altered_field,altered_from,altered_to,vendor,date,total,line_items_json,currency,category,expected_policy_violation,violated_rule,has_injection_payload,injection_payload_text,layout_template,seed
genuine/genuine_001.jpg,S001,genuine,none,,,Copperline Taxi,2025-10-14,107.07,"[{""description"": ""Gift card"", ""price"": 45.24}, {""description"": ""Gift basket"", ""price"": 61.83}]",GBP,gifts,True,category_restriction,False,,itemized_invoice,1337
tampered/tampered_001.jpg,S001,tampered,total,107.07,146.25,Copperline Taxi,2025-10-14,146.25,"[{""description"": ""Gift card"", ""price"": 45.24}, {""description"": ""Gift basket"", ""price"": 61.83}]",GBP,gifts,True,category_restriction,False,,itemized_invoice,1337
genuine/genuine_002.jpg,S002,genuine,none,,,Copperline Taxi,2026-07-15,39.39,"[{""description"": ""Dinner entree"", ""price"": 23.07}, {""description"": ""Coffee"", ""price"": 5.21}, {""description"": ""Lunch combo"", ""price"": 11.11}]",EUR,meals,False,,False,,rideshare_fare,1337
tampered/tampered_002.jpg,S002,tampered,date,2026-07-15,2025-10-08,Copperline Taxi,2025-10-08,39.39,"[{""description"": ""Dinner entree"", ""price"": 23.07}, {""description"": ""Coffee"", ""price"": 5.21}, {""description"": ""Lunch combo"", ""price"": 11.11}]",EUR,meals,True,receipt_age,False,,rideshare_fare,1337
genuine/genuine_003.jpg,S003,genuine,none,,,Harbor View Diner,2025-11-02,56.11,"[{""description"": ""Cocktail"", ""price"": 12.38}, {""description"": ""Wine bottle"", ""price"": 43.73}]",USD,alcohol,True,category_restriction,False,,itemized_invoice,1337
tampered/tampered_003.jpg,S003,tampered,line_items,Cocktail,Cocktail (edited),Harbor View Diner,2025-11-02,56.11,"[{""description"": ""Cocktail (edited)"", ""price"": 12.38}, {""description"": ""Wine bottle"", ""price"": 43.73}]",USD,alcohol,True,category_restriction,False,,itemized_invoice,1337
genuine/genuine_004.jpg,S004,genuine,none,,,Northwind Transit Co,2026-09-02,40.65,"[{""description"": ""Lunch combo"", ""price"": 10.85}, {""description"": ""Dinner entree"", ""price"": 24.05}, {""description"": ""Coffee"", ""price"": 5.75}]",EUR,meals,False,,False,,thermal_narrow,1337
tampered/tampered_004.jpg,S004,tampered,total,40.65,49.94,Northwind Transit Co,2026-09-02,49.94,"[{""description"": ""Lunch combo"", ""price"": 10.85}, {""description"": ""Dinner entree"", ""price"": 24.05}, {""description"": ""Coffee"", ""price"": 5.75}]",EUR,meals,False,,False,,thermal_narrow,1337
genuine/genuine_005.jpg,S005,genuine,none,,,Ivory Lane Grocers,2026-08-04,51.04,"[{""description"": ""Wine bottle"", ""price"": 38.81}, {""description"": ""Cocktail"", ""price"": 12.23}]",GBP,alcohol,True,category_restriction,False,,itemized_invoice,1337
tampered/tampered_005.jpg,S005,tampered,date,2026-08-04,2026-04-01,Ivory Lane Grocers,2026-04-01,51.04,"[{""description"": ""Wine bottle"", ""price"": 38.81}, {""description"": ""Cocktail"", ""price"": 12.23}]",GBP,alcohol,True,category_restriction,False,,itemized_invoice,1337
genuine/genuine_006.jpg,S006,genuine,none,,,Thistle & Vine Wine Bar,2025-04-03,96.09,"[{""description"": ""Gift card"", ""price"": 33.56}, {""description"": ""Gift basket"", ""price"": 62.53}]",EUR,gifts,True,category_restriction,False,,thermal_narrow,1337
tampered/tampered_006.jpg,S006,tampered,line_items,Gift card,Gift card (edited),Thistle & Vine Wine Bar,2025-04-03,96.09,"[{""description"": ""Gift card (edited)"", ""price"": 33.56}, {""description"": ""Gift basket"", ""price"": 62.53}]",EUR,gifts,True,category_restriction,False,,thermal_narrow,1337
genuine/genuine_007.jpg,S007,genuine,none,,,Amberfield Bistro,2025-06-26,49.03,"[{""description"": ""Ink cartridge"", ""price"": 30.68}, {""description"": ""Printer paper"", ""price"": 11.06}, {""description"": ""Notebook"", ""price"": 7.29}]",USD,office_supplies,True,receipt_age,False,,itemized_invoice,1337
tampered/tampered_007.jpg,S007,tampered,total,49.03,61.65,Amberfield Bistro,2025-06-26,61.65,"[{""description"": ""Ink cartridge"", ""price"": 30.68}, {""description"": ""Printer paper"", ""price"": 11.06}, {""description"": ""Notebook"", ""price"": 7.29}]",USD,office_supplies,True,receipt_age,False,,itemized_invoice,1337
genuine/genuine_008.jpg,S008,genuine,none,,,Cascade Rideshare,2025-09-29,40.06,"[{""description"": ""Lunch combo"", ""price"": 11.52}, {""description"": ""Dinner entree"", ""price"": 28.54}]",GBP,meals,True,receipt_age,False,,rideshare_fare,1337
tampered/tampered_008.jpg,S008,tampered,date,2025-09-29,2025-03-04,Cascade Rideshare,2025-03-04,40.06,"[{""description"": ""Lunch combo"", ""price"": 11.52}, {""description"": ""Dinner entree"", ""price"": 28.54}]",GBP,meals,True,receipt_age,False,,rideshare_fare,1337
genuine/genuine_009.jpg,S009,genuine,none,,,Redstone Office Mart,2025-07-07,211.23,"[{""description"": ""Train ticket"", ""price"": 69.8}, {""description"": ""Taxi fare"", ""price"": 52.13}, {""description"": ""Flight change fee"", ""price"": 89.3}]",EUR,travel,True,receipt_age,False,,rideshare_fare,1337
tampered/tampered_009.jpg,S009,tampered,line_items,Train ticket,Train ticket (edited),Redstone Office Mart,2025-07-07,211.23,"[{""description"": ""Train ticket (edited)"", ""price"": 69.8}, {""description"": ""Taxi fare"", ""price"": 52.13}, {""description"": ""Flight change fee"", ""price"": 89.3}]",EUR,travel,True,receipt_age,False,,rideshare_fare,1337
